term,definition_pt
latestPeriodOrHighestSystem,"O nome completo do período geocronológico mais recente possível ou do sistema cronoestratigráfico mais alto atribuível ao horizonte estratigráfico do qual a Entidade Material foi coletada."
lifeStage,"A classe etária ou estágio de vida do(s) Organismo(s) no momento em que a Ocorrência foi registrada."
lithostratigraphicTerms,"A combinação de todos os nomes litoestratigráficos da rocha da qual a Entidade Material foi coletada."
locationAccordingTo,"Informação sobre a fonte desta informação de Localização. Pode ser uma publicação (dicionário geográfico), instituição ou equipe de indivíduos."
locationID,"Um identificador para o conjunto de informações de Localização. Pode ser um identificador único global ou específico do conjunto de dados."
lowestBiostratigraphicZone,"O nome completo da zona bioestratigráfica geológica mais baixa possível do horizonte estratigráfico do qual a Entidade Material foi coletada."
materialEntityID,"Um identificador para uma instância específica de Entidade Material."
materialEntityRemarks,"Comentários ou notas sobre a instância de Entidade Material."
materialEntityType,"Uma categoria que melhor corresponde à natureza de uma Entidade Material."
materialSampleID,"Um identificador para a Amostra Material (em oposição a um registro digital específico da Amostra Material). Na ausência de um identificador único global persistente, construa um a partir de uma combinação de identificadores do registro que torne o materialSampleID o mais globalmente único possível."
maximumDepthInMeters,"A maior profundidade de um intervalo de profundidade abaixo da superfície local, em metros."
maximumDistanceAboveSurfaceInMeters,"A maior distância de um intervalo de distância a partir de uma superfície de referência na direção vertical, em metros. Use valores positivos para locais acima da superfície e negativos para abaixo. Se houver medidas de profundidade, a superfície de referência é o local dado pela profundidade; caso contrário, é o local dado pela elevação."
maximumElevationInMeters,"O limite superior do intervalo de elevação (altitude, geralmente acima do nível do mar), em metros."
measurementAccuracy,"A descrição do erro potencial associado ao measurementValue."
measurementDeterminedBy,"Lista de nomes de pessoas, grupos ou organizações que determinaram o valor da Medição ou Fato."
measurementDeterminedDate,"A data em que a Medição ou Fato foi realizada."
measurementID,"Um identificador para a Medição ou Fato (informação relativa a medições, fatos, características ou afirmações). Pode ser um identificador único global ou específico do conjunto de dados."
measurementMethod,"Uma descrição ou referência (publicação, URI) ao método ou protocolo usado para determinar a medição, fato, característica ou afirmação."
measurementRemarks,"Comentários ou notas que acompanham a Medição ou Fato."
measurementType,"A natureza da medição, fato, característica ou afirmação."
measurementUnit,"As unidades associadas ao measurementValue."
measurementValue,"O valor da medição, fato, característica ou afirmação."
member,"O nome completo do membro litoestratigráfico do qual a Entidade Material foi coletada."
minimumDepthInMeters,"A menor profundidade de um intervalo de profundidade abaixo da superfície local, em metros."
minimumDistanceAboveSurfaceInMeters,"A menor distância de um intervalo de distância a partir de uma superfície de referência na direção vertical, em metros. Use valores positivos para locais acima da superfície e negativos para abaixo. Se houver medidas de profundidade, a superfície de referência é o local dado pela profundidade; caso contrário, é o local dado pela elevação."
minimumElevationInMeters,"O limite inferior do intervalo de elevação (altitude, geralmente acima do nível do mar), em metros."
municipality,"O nome completo, sem abreviação, da região administrativa imediatamente menor do que o condado/município maior (cidade, município etc.) em que a Localização ocorre. Não use este termo para um lugar nomeado próximo que não contenha a Localização real."
nameAccordingTo,"A referência à fonte na qual a circunscrição do conceito taxonômico específico é definida ou implícita - tradicionalmente indicada pelo latim ""sensu"" ou ""sec."" (de secundum, ""de acordo com""). Para táxons resultantes de identificações, deve-se informar uma referência às chaves, monografias, especialistas e outras fontes."
nameAccordingToID,"Um identificador para a fonte na qual a circunscrição do conceito taxonômico específico é definida ou implícita. Ver nameAccordingTo."
namePublishedIn,"Uma referência à publicação na qual o nome científico foi originalmente estabelecido sob as regras do código nomenclatural associado."
namePublishedInID,"Um identificador para a publicação na qual o nome científico foi originalmente estabelecido sob as regras do código nomenclatural associado."
namePublishedInYear,"O ano, com quatro dígitos, em que o nome científico foi publicado."
nomenclaturalCode,"O código nomenclatural (ou códigos, no caso de um nome ambirregnal) sob o qual o nome científico é construído."
nomenclaturalStatus,"O status relacionado à publicação original do nome e à sua conformidade com as regras de nomenclatura aplicáveis. Baseia-se essencialmente em um algoritmo segundo as regras do código. Não requer opinião taxonômica."
organismID,"Um identificador para a instância de Organismo (em oposição a um registro digital específico do Organismo). Pode ser um identificador único global ou específico do conjunto de dados."
organismName,"Um nome ou rótulo textual atribuído a uma instância de Organismo."
organismQuantity,"Um número ou valor enumerado para a quantidade de Organismos."
organismQuantityType,"O tipo de sistema de quantificação usado para a quantidade de Organismos."
organismRemarks,"Comentários ou notas sobre a instância de Organismo."
organismScope,"Uma descrição do tipo da instância de Organismo. Pode ser usada para indicar se a instância representa um organismo discreto ou um tipo específico de agregação."
originalNameUsage,"O nome do táxon, com informações de autoria e data se conhecidas, tal como apareceu originalmente quando estabelecido pela primeira vez sob as regras do código nomenclatural associado. O basiônimo (botânica) ou basônimo (bacteriologia) do nome científico, ou o homônimo sênior/anterior para nomes substituídos."
originalNameUsageID,"Um identificador para o uso do nome (significado documentado do nome segundo uma fonte) no qual o elemento terminal do nome científico foi originalmente estabelecido sob as regras do código nomenclatural associado."
otherCatalogNumbers,"Lista de números de catálogo anteriores ou alternativos totalmente qualificados, ou outros identificadores de uso humano para a mesma Ocorrência, seja no conjunto de dados ou coleção atual ou em qualquer outro."
ownerInstitutionCode,"O nome (ou sigla) em uso pela instituição que detém a propriedade do(s) objeto(s) ou da informação referida no registro."
parentEventID,"Um identificador para o Evento mais amplo que agrupa este e potencialmente outros Eventos."
parentMeasurementID,"Um identificador para uma Medição ou Fato mais ampla que agrupa esta e potencialmente outras Medições ou Fatos."
parentNameUsage,"O nome completo, com informações de autoria e data se conhecidas, do táxon-pai de nível superior direto e mais próximo (em uma classificação) do elemento mais específico do nome científico."
parentNameUsageID,"Um identificador para o uso do nome (significado documentado do nome segundo uma fonte) do táxon-pai de nível superior direto e mais próximo (em uma classificação) do elemento mais específico do nome científico."
pathway,"O processo pelo qual um Organismo passou a estar em um determinado local em um determinado tempo."
pointRadiusSpatialFit,"A razão entre a área do ponto-raio (decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters) e a área da representação espacial verdadeira (original ou mais específica) da Localização. Valores válidos são 0, maior ou igual a 1, ou indefinido. O valor 1 indica correspondência exata ou 100% de sobreposição. Use 0 se o ponto-raio informado não contiver completamente a representação original. É indefinido (deixe vazio) se a representação original for uma geometria sem área (ex.: ponto ou linha) e sem incerteza, e a georreferência informada não for essa mesma geometria. Se ambas as georreferências forem o mesmo ponto, o valor é 1."
previousIdentifications,"Lista de atribuições anteriores de nomes ao Organismo."
projectID,"Lista de identificadores de projetos que contribuíram para um Evento."
projectTitle,"Lista de títulos ou nomes de projetos que contribuíram para um Evento."
recordedByID,"Lista de identificadores únicos globais da pessoa, pessoas, grupos ou organizações responsáveis por registrar a Ocorrência original."
recordNumber,"Um identificador atribuído à Ocorrência no momento em que foi registrada. Frequentemente serve como elo entre as notas de campo e um registro de Ocorrência, como o número de coletor de um espécime."
references,"Um recurso relacionado que é referenciado, citado ou de outra forma apontado pelo recurso descrito."
relatedResourceID,"Um identificador para um recurso relacionado (o objeto, e não o sujeito da relação)."
relationshipAccordingTo,"A fonte (pessoa, organização, publicação, referência) que estabelece a relação entre os dois recursos."
relationshipEstablishedDate,"A data-hora em que a relação entre os dois recursos foi estabelecida."
relationshipOfResource,"A relação do sujeito (identificado por resourceID) com o objeto (identificado por relatedResourceID)."
relationshipOfResourceID,"Um identificador para o tipo de relação (predicado) que conecta o sujeito identificado por resourceID ao seu objeto identificado por relatedResourceID."
relationshipRemarks,"Comentários ou notas sobre a relação entre os dois recursos."
reproductiveCondition,"A condição reprodutiva do(s) indivíduo(s) biológico(s) representado(s) na Ocorrência."
resourceID,"Um identificador para o recurso que é o sujeito da relação."
resourceRelationshipID,"Um identificador para uma instância de relação entre um recurso (o sujeito) e outro (relatedResource, o objeto)."
sampleSizeUnit,"A unidade de medida do tamanho (duração de tempo, comprimento, área ou volume) de uma amostra em um Evento de amostragem."
sampleSizeValue,"Um valor numérico para a medida do tamanho (duração de tempo, comprimento, área ou volume) de uma amostra em um Evento de amostragem."
scientificNameID,"Um identificador para os detalhes nomenclaturais (não taxonômicos) de um nome científico."
sex,"O sexo do(s) indivíduo(s) biológico(s) representado(s) na Ocorrência."
startDayOfYear,"O primeiro dia do ano, como número inteiro, em que o Evento ocorreu (1 para 1º de janeiro, 365 para 31 de dezembro, exceto em ano bissexto, quando é 366)."
subfamily,"O nome científico completo da subfamília na qual o táxon é classificado."
subgenus,"O nome científico completo do subgênero no qual o táxon é classificado."
subtribe,"O nome científico completo da subtribo na qual o táxon é classificado."
superfamily,"O nome científico completo da superfamília na qual o táxon é classificado."
taxonConceptID,"Um identificador para o conceito taxonômico ao qual o registro se refere - não para os detalhes nomenclaturais de um táxon."
taxonID,"Um identificador para o conjunto de informações do táxon. Pode ser um identificador único global ou específico do conjunto de dados."
taxonomicStatus,"O status do uso do nome científico como rótulo de um táxon. Requer opinião taxonômica para definir o escopo de um táxon. Regras de prioridade são então usadas para definir o status taxonômico da nomenclatura contida nesse escopo, combinadas com a opinião de especialistas. Deve estar vinculado a uma referência taxonômica específica que defina o conceito."
taxonRemarks,"Comentários ou notas sobre o táxon ou o nome."
tribe,"O nome científico completo da tribo na qual o táxon é classificado."
typeStatus,"Lista de tipos nomenclaturais (status do tipo, nome científico tipificado, publicação) aplicados ao indivíduo."
typifiedName,"Um nome científico que se baseia em um espécime-tipo."
verbatimCoordinates,"As coordenadas espaciais originais (verbatim) da Localização. O elipsoide, datum geodésico ou o sistema de referência espacial (SRS) completo dessas coordenadas deve ser armazenado em verbatimSRS, e o sistema de coordenadas deve ser armazenado em verbatimCoordinateSystem."
verbatimCoordinateSystem,"O formato de coordenada para verbatimLatitude e verbatimLongitude ou para verbatimCoordinates da Localização."
verbatimDepth,"A descrição original da profundidade abaixo da superfície local."
verbatimElevation,"A descrição original da elevação (altitude, geralmente acima do nível do mar) da Localização."
verbatimEventDate,"A representação original (verbatim) da informação de data e hora de um Evento."
verbatimLabel,"O conteúdo deste termo não deve incluir embelezamentos, prefixos, cabeçalhos ou outras adições feitas ao texto. Abreviações não devem ser expandidas e supostos erros de grafia não devem ser corrigidos. Podem ser usadas linhas ou pontos de quebra entre blocos de texto que possam ser verificados ao ver os rótulos originais ou suas imagens. Exemplos de entidades materiais incluem espécimes preservados, espécimes fósseis e amostras materiais. Recomenda-se usar UTF-8 para todos os caracteres. Recomenda-se adicionar o comentário ""verbatimLabel derivado de transcrição humana"" em occurrenceRemarks."
verbatimLocality,"A descrição textual original do lugar."
verbatimMeasurementType,"Uma cadeia de texto representando o tipo de medição ou fato tal como apareceu no registro original."
verbatimSRS,"O elipsoide, datum geodésico ou sistema de referência espacial (SRS) no qual se baseiam as coordenadas informadas em verbatimLatitude e verbatimLongitude, ou em verbatimCoordinates."
verbatimTaxonRank,"O nível taxonômico do nome mais específico no nome científico tal como aparece no registro original."
verticalDatum,"O datum vertical usado como referência sobre o qual se baseiam os valores nos termos de elevação."
vitality,"Uma indicação de se um Organismo estava vivo ou morto no momento da coleta ou observação."
waterBody,"O nome do corpo d'água em que a Localização ocorre."
