"numero_tombo","especie","autoria","familia","genero","nome_comum","dia_inicio","mes_inicio","ano_inicio","dia_fim","mes_fim","ano_fim","data_registro","coletor","determinador","tipo_de_registro","pais","codigo_pais","estado","municipio","localidade","latitude","longitude","numero_individuos","ambiente"
"MN-0042874","Psophia viridis","Spix, 1825","Psophiidae","Psophia","Jacamim-de-costas-verdes","08","06","2021","08","07","2021","08/06/2021","C. Lima","C. Lima","Registro fotográfico","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.57779","-55.89926","","Floresta amazônica (sul)"
"DEMO-COORD-04","Myrmecophaga tridactyla","Linnaeus, 1758","Myrmecophagidae","Myrmecophaga","Tamanduá-bandeira","26","02","2021","26","02","2021","26/02/2021","T. Almeida","G. Nunes","Armadilha fotográfica","Brasil","BR","Goiás","Mineiros","Erro de digitacao","-10","-10","1","Cerrado"
"MN-0043509","Sporophila albogularis","(Spix, 1825)","Thraupidae","Sporophila","Golinho","07","04","2020","07","07","2020","07/04/2020","P. Santos","A. Maciel","Coleta","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.62005","-38.49144","5","Caatinga arbórea"
"MN-0043872","Anodorhynchus hyacinthinus","(Latham, 1790)","Psittacidae","Anodorhynchus","Arara-azul-grande","14","11","2018","14","01","2019","14/11/2018","M. Andrade","R. Cunha","Observação em campo","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.36615","-56.80804","1","Planície de inundação do Pantanal"
"","Pyrrhura griseipectus","Salvadori, 1900","Psittacidae","Pyrrhura","Tiriba-de-peito-cinza","07","04","2015","07","04","2015","07/04/2015","F. Oliveira","L. Souza","Observação em campo","Brasil","BR","Ceará","Quixadá","Serra do Estevão","-4.95445","-39.04305","1","Caatinga / serra úmida"
"MN-0043159","Tangara fastuosa","(Lesson, 1831)","Thraupidae","Tangara","Saíra-de-sete-cores","04","02","2015","04","02","2015","04/02/2015","L. Souza","P. Santos","Observação em campo","Brasil","BR","Alagoas","Quebrangulo","Estação Ecológica de Pedra Talhada","-9.28459","-36.4684","","Brejo de altitude"
"MN-0043413","Euterpe edulis","Mart.","Arecaceae","Euterpe","Palmito-juçara","26","04","2018","26","04","2018","26/04/2018","A. Maciel","D. Rocha","Material preservado (herbário)","Brasil","BR","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-22.4201","-44.59086","1","Floresta Atlântica montana"
"MN-0043675","Spinus yarrellii","(Audubon, 1839)","Fringillidae","Spinus","Pintassilgo-do-nordeste","05","01","2023","05","03","2023","05/01/2023","T. Almeida","P. Santos","Observação em campo","Brasil","BR","Ceará","Quixadá","Serra do Estevão","-4.93785","-38.98915","2","Caatinga / serra úmida"
"MN-0043553","Euterpe edulis","Mart.","Arecaceae","Euterpe","Palmito-juçara","17","06","2019","17","09","2019","17/06/2019","T. Almeida","F. Oliveira","Espécime preservado","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.08155","-47.99647","1","Floresta Atlântica"
"MN-0043484","Cereus jamacaru","DC.","Cactaceae","Cereus","Mandacaru","06","11","2016","06","11","2016","06/11/2016","J. Pereira","M. Andrade","Material preservado (herbário)","Brasil","BR","Bahia","Curaçá","Riacho Melância","-9.16635","-39.85459","","Caatinga arbustiva"
"MN-0043819","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","05","08","2018","05","08","2018","05/08/2018 10:43","D. Rocha","M. Andrade","Observação em campo","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.49668","-37.23769","","Caatinga arbórea"
"MN-0042839","Brachyteles arachnoides","(É. Geoffroy, 1806)","Atelidae","Brachyteles","Muriqui-do-sul","19","12","2020","19","12","2020","19/12/2020","M. Andrade","T. Almeida","Observação","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.07956","-47.98677","2","Floresta Atlântica"
"","Myrmecophaga tridactyla","Linnaeus, 1758","Myrmecophagidae","Myrmecophaga","Tamanduá-bandeira","13","10","2024","13","01","2026","13/10/2024","L. Souza","M. Andrade","Armadilha fotográfica","Brasil","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.26314","-52.90157","1","Cerrado / campo limpo"
"MN-0043265","Mergus octosetaceus","Vieillot, 1817","Anatidae","Mergus","Pato-mergulhão","08","02","2020","08","02","2020","08/02/2020","C. Lima","F. Oliveira","Observação","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.30474","-46.525","2","Campo rupestre / rio de planalto"
"MN-0043269","Sturnella superciliaris","(Bonaparte, 1850)","Icteridae","Sturnella","Polícia-inglesa-do-sul","07","05","2018","07","06","2018","07/05/2018","R. Cunha","G. Nunes","Observação","Brasil","BR","Rio Grande do Sul","Aceguá","Coxilhas de Aceguá","-31.6417","-54.18252","2","Campos do Pampa"
"MN-0043475","Sporophila albogularis","(Spix, 1825)","Thraupidae","Sporophila","Golinho","07","04","2019","07","04","2019","07/04/2019","R. Cunha","L. Souza","Observação em campo","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.55152","-37.20756","2","Caatinga arbórea"
"MN-0043639","Myrmecophaga tridactyla","Linnaeus, 1758","Myrmecophagidae","Myrmecophaga","Tamanduá-bandeira","16","07","2022","16","11","2023","16/07/2022","A. Maciel","A. Maciel","Registro fotográfico","Brasil","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.29241","-52.89041","5","Cerrado / campo limpo"
"MN-0043878","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","23","10","2022","23","11","2022","23/10/2022","M. Andrade","L. Souza","Coleta","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.54308","-37.22923","","Caatinga arbórea"
"MN-0043347","Anodorhynchus hyacinthinus","(Latham, 1790)","Psittacidae","Anodorhynchus","Arara-azul-grande","14","08","2018","14","08","2018","14/08/2018","B. Carvalho","F. Oliveira","Observação","Brasil","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-19.01686","-57.62938","1","Planície de inundação do Pantanal"
"MN-0043792","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","21","08","2018","21","08","2018","21/08/2018","C. Lima","P. Santos","Registro fotográfico","Brasil","BR","Bahia","Curaçá","Riacho Melância","-9.16932","-39.85361","2","Caatinga arbustiva"
"MN-0043529","Mycteria americana","Linnaeus, 1758","Ciconiidae","Mycteria","Cabeça-seca","23","07","2018","23","07","2018","23/07/2018","P. Santos","R. Cunha","Registro fotográfico","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.35633","-56.80365","4","Planície de inundação do Pantanal"
"MN-0043304","Blastocerus dichotomus","(Illiger, 1815)","Cervidae","Blastocerus","Cervo-do-pantanal","19","09","2019","19","09","2019","19/09/2019","P. Santos","R. Cunha","Observação em campo","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.32603","-56.79908","1","Planície de inundação do Pantanal"
"DEMO-COORD-06","Chrysocyon brachyurus","(Illiger, 1815)","Canidae","Chrysocyon","Lobo-guará","17","10","2022","17","11","2022","17/10/2022","F. Oliveira","L. Souza","Observação","Brasil","BR","Mato Grosso","Indefinido","Centroide do país atribuído por software","-10","-55","1","Cerrado"
"MN-0043078","Ateles paniscus","(Linnaeus, 1758)","Atelidae","Ateles","Macaco-aranha-de-cara-vermelha","22","06","2021","22","06","2021","22/06/2021","B. Carvalho","G. Nunes","Observação em campo","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.71042","-51.4263","3","Floresta de terra firme"
"MN-0042860","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","22","06","2022","22","06","2022","22/06/2022","J. Pereira","L. Souza","Observação em campo","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.50039","-37.24664","","Caatinga arbórea"
"MN-0043391","Tangara cyanocephala","(Statius Müller, 1776)","Thraupidae","Tangara","Saíra-militar","17","01","2016","17","04","2016","17/01/2016","T. Almeida","F. Oliveira","Espécime preservado","Brasil","BR","Pernambuco","Tamandaré","Reserva Biológica de Saltinho","-8.73675","-35.19521","2","Floresta Atlântica"
"MN-0042992","Paubrasilia echinata","(Lam.) Gagnon, H.C.Lima & G.P.Lewis","Fabaceae","Paubrasilia","Pau-brasil","11","02","2017","11","02","2017","11/02/2017","D. Rocha","A. Maciel","Coleta","Brasil","BR","Bahia","Una","Reserva Biológica de Una","-15.13969","-39.05884","2","Floresta Atlântica"
"MN-0043499","Mycteria americana","Linnaeus, 1758","Ciconiidae","Mycteria","Cabeça-seca","01","06","2019","01","06","2019","01/06/2019","B. Carvalho","B. Carvalho","Observação","Brasil","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-18.97117","-57.61504","5","Planície de inundação do Pantanal"
"MN-0043383","Penelope jacucaca","Spix, 1825","Cracidae","Penelope","Jacucaca","06","12","2020","06","01","2021","06/12/2020","G. Nunes","B. Carvalho","Observação","","BR","Bahia","Boa Nova","Parque Nacional de Boa Nova","-14.38373","-40.22032","6","Mata-de-cipó"
"MN-0043385","Panthera onca","(Linnaeus, 1758)","Felidae","Panthera","Onça-pintada","10","07","2023","10","11","2024","10/07/2023","M. Andrade","R. Cunha","Armadilha fotográfica","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.38281","-56.76258","3","Planície de inundação do Pantanal"
"MN-0043531","Pyrrhura griseipectus","Salvadori, 1900","Psittacidae","Pyrrhura","Tiriba-de-peito-cinza","02","09","2021","02","10","2021","02/09/2021","P. Santos","L. Souza","Observação em campo","Brasil","BR","Ceará","Quixadá","Serra do Estevão","-4.93755","-39.06404","1","Caatinga / serra úmida"
"MN-0042978","Victoria amazonica","(Poepp.) J.C.Sowerby","Nymphaeaceae","Victoria","Vitória-régia","27","01","2018","27","01","2018","27/01/2018","D. Rocha","G. Nunes","Espécime preservado","Brasil","BR","Amazonas","Tefé","RDS Mamirauá","-3.11124","-64.76924","3","Várzea amazônica"
"MN-0043866","Phylloscartes ceciliae","Teixeira, 1987","Tyrannidae","Phylloscartes","Cara-pintada","23","02","2024","23","04","2024","23/02/2024","P. Santos","B. Carvalho","Observação","Brasil","BR","Alagoas","Murici","Estação Ecológica de Murici","-9.1746","-35.81361","","Floresta Atlântica"
"","Caiman yacare","(Daudin, 1802)","Alligatoridae","Caiman","Jacaré-do-pantanal","16","12","2015","16","02","2016","16/12/2015","M. Andrade","T. Almeida","Observação","BRASIL","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-19.02839","-57.67868","1","Planície de inundação do Pantanal"
"MN-0043277","Leopardus geoffroyi","(d'Orbigny & Gervais, 1844)","Felidae","Leopardus","Gato-do-mato-grande","23","06","2021","23","10","2022","23/06/2021","B. Carvalho","A. Maciel","Observação em campo","Brasil","BR","Rio Grande do Sul","Barra do Quaraí","Parque Estadual do Espinilho","-30.14401","-57.56096","1","Savana-estépica (Pampa)"
"MN-0042952","Leopardus geoffroyi","(d'Orbigny & Gervais, 1844)","Felidae","Leopardus","Gato-do-mato-grande","06","02","2018","06","01","2019","06/02/2018","D. Rocha","J. Pereira","Armadilha fotográfica","Brasil","BR","Rio Grande do Sul","Aceguá","Coxilhas de Aceguá","-31.62545","-54.1398","1","Campos do Pampa"
"MN-0043688","Mergus octosetaceus","Vieillot, 1817","Anatidae","Mergus","Pato-mergulhão","27","08","2024","27","08","2024","27/08/2024","L. Souza","J. Pereira","Registro fotográfico","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.28772","-46.51518","1","Campo rupestre / rio de planalto"
"MN-0043082","Caiman yacare","(Daudin, 1802)","Alligatoridae","Caiman","Jacaré-do-pantanal","03","12","2016","03","12","2016","03/12/2016","M. Andrade","L. Souza","Registro fotográfico","BRASIL","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.39405","-56.78516","1","Planície de inundação do Pantanal"
"MN-0043366","Penelope jacucaca","Spix, 1825","Cracidae","Penelope","Jacucaca","15","08","2017","15","09","2017","15/08/2017","M. Andrade","C. Lima","Observação","Brasil","BR","Bahia","Boa Nova","Parque Nacional de Boa Nova","-14.38709","-40.18885","1","Mata-de-cipó"
"MN-0043176","Euterpe edulis","Mart.","Arecaceae","Euterpe","Palmito-juçara","11","04","2017","11","04","2017","11/04/2017","J. Pereira","P. Santos","Espécime preservado","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.04749","-47.97548","2","Floresta Atlântica"
"MN-0043229","Rhea americana","(Linnaeus, 1758)","Rheidae","Rhea","Ema","28","09","2021","28","10","2021","28/09/2021","M. Andrade","M. Andrade","Registro fotográfico","Brasil","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.32156","-52.95819","6","Cerrado / campo limpo"
"MN-0043116","Brachyteles arachnoides","(É. Geoffroy, 1806)","Atelidae","Brachyteles","Muriqui-do-sul","22","03","2015","22","05","2015","22/03/2015","D. Rocha","J. Pereira","Registro fotográfico","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.07662","-47.97147","3","Floresta Atlântica"
"","Caryocar brasiliense","Cambess.","Caryocaraceae","Caryocar","Pequi","15","07","2024","15","07","2024","15/07/2024","L. Souza","T. Almeida","Espécime preservado","Brasil","BR","Distrito Federal","Brasília","Estação Ecológica de Águas Emendadas","-15.5468","-47.56664","1","Cerrado / vereda"
"MN-0043695","Euterpe edulis","Mart.","Arecaceae","Euterpe","Palmito-juçara","26","08","2020","26","10","2020","26/08/2020","C. Lima","J. Pereira","Espécime preservado","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.05591","-47.96663","2","Floresta Atlântica"
"MN-0043889","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","01","07","2023","01","07","2023","01/07/2023","G. Nunes","L. Souza","Observação","Brasil","BR","Bahia","Curaçá","Riacho Melância","-9.16532","-39.83144","","Caatinga arbustiva"
"MN-0043290","Swietenia macrophylla","King","Meliaceae","Swietenia","Mogno","20","12","2022","20","01","2023","20/12/2022","B. Carvalho","B. Carvalho","Coleta","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.60698","-55.95497","1","Floresta amazônica (sul)"
"MN-0043663","Brachyteles arachnoides","(É. Geoffroy, 1806)","Atelidae","Brachyteles","Muriqui-do-sul","02","06","2017","02","07","2017","02/06/2017","G. Nunes","T. Almeida","Observação em campo","BRASIL","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.09452","-47.97841","4","Floresta Atlântica"
"MN-0043027","Anodorhynchus hyacinthinus","(Latham, 1790)","Psittacidae","Anodorhynchus","Arara-azul-grande","01","06","2019","01","07","2019","01/06/2019","P. Santos","A. Maciel","Observação","Brasil","BR","Mato Grosso do Sul","Miranda","RPPN Caiman","-19.953","-56.31233","2","Planície de inundação do Pantanal"
"MN-0042878","Psophia viridis","Spix, 1825","Psophiidae","Psophia","Jacamim-de-costas-verdes","04","12","2019","04","12","2019","04/12/2019","C. Lima","J. Pereira","Observação","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.55827","-55.91956","2","Floresta amazônica (sul)"
"MN-0043040","Jabiru mycteria","(Lichtenstein, 1819)","Ciconiidae","Jabiru","Tuiuiú","10","08","2024","10","08","2024","10/08/2024","T. Almeida","A. Maciel","Registro fotográfico","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.34309","-56.76666","1","Planície de inundação do Pantanal"
"MN-0043338","Mergus octosetaceus","Vieillot, 1817","Anatidae","Mergus","Pato-mergulhão","22","12","2016","22","12","2016","22/12/2016","L. Souza","A. Maciel","Observação em campo","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.33014","-46.54635","1","Campo rupestre / rio de planalto"
"MN-0043364","Antilophia galeata","(Lichtenstein, 1823)","Pipridae","Antilophia","Soldadinho","14","03","2022","14","03","2022","14/03/2022","J. Pereira","C. Lima","Coleta","Brasil","BR","Distrito Federal","Brasília","Estação Ecológica de Águas Emendadas","-15.53066","-47.62359","2","Cerrado / vereda"
"MN-0043416","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","20","10","2024","20","11","2024","20/10/2024","J. Pereira","G. Nunes","Material preservado (herbário)","Brasil","BR","Bahia","Curaçá","Riacho Melância","-9.21122","-39.89771","3","Caatinga arbustiva"
"MN-0043603","Sporophila albogularis","(Spix, 1825)","Thraupidae","Sporophila","Golinho","15","04","2021","15","07","2021","15/04/2021","L. Souza","L. Souza","Registro fotográfico","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.49606","-37.21182","6","Caatinga arbórea"
"","Penelope jacucaca","Spix, 1825","Cracidae","Penelope","Jacucaca","14","11","2024","14","12","2024","14/11/2024","R. Cunha","T. Almeida","Registro fotográfico","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.51466","-37.20903","5","Caatinga arbórea"
"MN-0043633","Caryocar brasiliense","Cambess.","Caryocaraceae","Caryocar","Pequi","08","03","2023","08","03","2023","08/03/2023","G. Nunes","D. Rocha","Espécime preservado","Brasil","BR","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-14.09118","-47.55901","","Cerrado sentido restrito"
"MN-0043624","Caiman yacare","(Daudin, 1802)","Alligatoridae","Caiman","Jacaré-do-pantanal","18","05","2016","18","06","2016","18/05/2016","D. Rocha","T. Almeida","Observação em campo","BRASIL","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-19.00254","-57.67627","4","Planície de inundação do Pantanal"
"MN-0043332","Caiman yacare","(Daudin, 1802)","Alligatoridae","Caiman","Jacaré-do-pantanal","17","03","2018","17","06","2018","17/03/2018","A. Maciel","B. Carvalho","Observação","Brasil","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-18.98867","-57.67323","","Planície de inundação do Pantanal"
"MN-0043266","Antilophia galeata","(Lichtenstein, 1823)","Pipridae","Antilophia","Soldadinho","12","02","2024","12","02","2024","12/02/2024","F. Oliveira","B. Carvalho","Observação em campo","Brasil","BR","Distrito Federal","Brasília","Estação Ecológica de Águas Emendadas","-15.56926","-47.62152","1","Cerrado / vereda"
"MN-0043703","Bertholletia excelsa","Bonpl.","Lecythidaceae","Bertholletia","Castanheira-do-pará","22","01","2016","22","03","2016","22/01/2016","G. Nunes","B. Carvalho","Coleta","BRASIL","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.74527","-51.4963","5","Floresta de terra firme"
"MN-0043587","Jabiru mycteria","(Lichtenstein, 1819)","Ciconiidae","Jabiru","Tuiuiú","11","05","2015","11","05","2015","11/05/2015","M. Andrade","J. Pereira","Observação","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.37474","-56.77033","1","Planície de inundação do Pantanal"
"MN-0043358","Ateles paniscus","(Linnaeus, 1758)","Atelidae","Ateles","Macaco-aranha-de-cara-vermelha","02","05","2017","02","08","2017","02/05/2017","M. Andrade","P. Santos","Registro fotográfico","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.7791","-51.50166","5","Floresta de terra firme"
"MN-0043457","Ateles paniscus","(Linnaeus, 1758)","Atelidae","Ateles","Macaco-aranha-de-cara-vermelha","15","03","2021","15","06","2021","15/03/2021","B. Carvalho","T. Almeida","Observação","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.7808","-51.45425","1","Floresta de terra firme"
"MN-0043010","Sporophila albogularis","(Spix, 1825)","Thraupidae","Sporophila","Golinho","23","10","2021","23","10","2021","23/10/2021","F. Oliveira","J. Pereira","Espécime preservado","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.61503","-38.49639","","Caatinga arbórea"
"MN-0043631","Caryocar brasiliense","Cambess.","Caryocaraceae","Caryocar","Pequi","21","12","2017","21","12","2017","21/12/2017","G. Nunes","R. Cunha","Espécime preservado","Brasil","BR","Distrito Federal","Brasília","Estação Ecológica de Águas Emendadas","-15.56169","-47.63343","1","Cerrado / vereda"
"MN-0043623","Bertholletia excelsa","Bonpl.","Lecythidaceae","Bertholletia","Castanheira-do-pará","27","01","2015","27","01","2015","27/01/2015","D. Rocha","L. Souza","Espécime preservado","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.71114","-51.49018","1","Floresta de terra firme"
"MN-0042986","Sporophila albogularis","(Spix, 1825)","Thraupidae","Sporophila","Golinho","12","04","2021","12","07","2021","12/04/2021","R. Cunha","D. Rocha","Material preservado (herbário)","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.4856","-37.25857","1","Caatinga arbórea"
